location,information,sales_price
Erdemli - Kocahasanlı Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,13.500 TL
Erdemli - Çeşmeli Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,50.000 TL
Mezitli - Yeni Mahallesi,Daire | 2+1 | 11. Kat | 140 m²,30.000 TL
Yenişehir - Palmiye Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
Yenişehir - Akkent Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,26.000 TL
Anamur - Güzelyurt Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,19.000 TL
Mezitli - Deniz Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,30.000 TL33.000 TL
Mezitli - Kuyuluk Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.500 TL
Yenişehir - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 4+1 | 2. Kat | 220 m²,350.000 TL
Mezitli - Yeni Mahallesi,Daire | 2.5+1 | 12. Kat | 140 m²,35.000 TL
Tarsus - Mithatpaşa Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,21.000 TL
Yenişehir - 50. Yıl Mahallesi,Daire | 5+1 | 5. Kat | 230 m²,730.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 4. Kat | 160 m²,37.500 TL
Mezitli - Fatih Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.000 TL
Mezitli - Deniz Mahallesi,Daire | 2+1 | 8. Kat | 80 m²,17.500 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 1+1 | 8. Kat | 78 m²,10.000 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 2+1 | 8. Kat | 128 m²,15.000 TL
Mezitli - Fatih Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,17.500 TL
Mezitli - 75. Yıl Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,17.000 TL
Yenişehir - Barbaros Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,16.500 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 2+1 | 7. Kat | 103 m²,16.000 TL
Mezitli - Deniz Mahallesi,Daire | 2+1 | 6. Kat | 90 m²,15.000 TL
Mezitli - Deniz Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,14.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,14.000 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,13.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,30.000 TL
Mezitli - 75. Yıl Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,25.500 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,10.000 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 1. Kat | 78 m²,18.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,14.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,13.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | Stüdyo | 3. Kat | 50 m²,17.500 TL
Tarsus - Ergenekon Mahallesi,Daire | 4+1 | 13. Kat | 280 m²,55.000 TL
Akdeniz - Barış Mahallesi,Daire | 3+1 | Müstakil | 170 m²,10.000 TL
Yenişehir - Güvenevler Mahallesi,Daire | 2.5+1 | 4. Kat | 100 m²,36.000 TL
Mezitli - Deniz Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,14.000 TL
Mezitli - Deniz Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,16.000 TL
Erdemli - Akdeniz Mahallesi,Daire | 2+1 | 6. Kat | 140 m²,16.500 TL
Erdemli - Akdeniz Mahallesi,Daire | 2+1 | 6. Kat | 140 m²,16.500 TL
Mezitli - Fatih Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,22.000 TL25.000 TL
Mezitli - Deniz Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,14.000 TL
Akdeniz - Karaduvar Mahallesi,Daire | 3+1 | 5. Kat | 149 m²,14.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,21.000 TL
Yenişehir - Cumhuriyet Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,17.000 TL
Erdemli - Alata Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,16.000 TL
Yenişehir - Güvenevler Mahallesi,Daire | 2.5+1 | 4. Kat | 100 m²,36.000 TL
Mezitli - Davultepe Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,35.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 11. Kat | 110 m²,20.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 3+1 | 4. Kat | 220 m²,22.000 TL
Erdemli - Tömük Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,17.000 TL
Mezitli - Deniz Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Mezitli - Deniz Mahallesi,Daire | 2+1 | 1. Kat | 72 m²,15.000 TL
Mezitli - 75. Yıl Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,14.500 TL
Yenişehir - Fuatmorel Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,35.000 TL
Mezitli - 75. Yıl Mahallesi,Daire | 5+1 | 17. Kat | 325 m²,750.000 TL
Erdemli - Akdeniz Mahallesi,Daire | 3+1 | 7. Kat | 175 m²,24.000 TL
Yenişehir - Hürriyet Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,18.000 TL
