location,information,sales_price
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,17.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+0 | 2. Kat | 62 m²,15.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,27.500 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,22.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,13.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.500 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,25.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,18.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,11.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,11.000 TL
Merkezefendi - Bahçelievler Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,25.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.500 TL
Pamukkale - Kayıhan Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,18.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,37.000 TL
Sarayköy - Turan Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,25.000 TL
Pamukkale - Atalar Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,15.500 TL
Pamukkale - İncilipınar Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,14.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,15.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,16.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.500 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,15.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,20.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,25.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,7.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 4+3 | 4. Kat | 135 m²,18.500 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,10.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,20.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.500 TL
Pamukkale - İstiklal Mahallesi,Daire | 2+1 | 3. Kat | 140 m²,17.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.500 TL
Merkezefendi - Gümüşçay Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,12.500 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,15.000 TL
Merkezefendi - Merkez Efendi Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,35.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,30.000 TL
Merkezefendi - Altıntop Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,18.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2.5+1 | 5. Kat | 121 m²,34.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 3+1 | 3. Kat | 185 m²,35.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | Bahçe katı | 99 m²,15.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,12.500 TL
Merkezefendi - Servergazi Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,28.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,17.500 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 8. Kat | 180 m²,31.000 TL
Honaz - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,7.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,31.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,9.000 TL
Pamukkale - Atalar Mahallesi,Daire | 3+1 | 7. Kat | 165 m²,15.000 TL18.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,14.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,10.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | Çatı katı | 45 m²,11.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,13.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2.5+1 | 6. Kat | 120 m²,27.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | Bahçe katı | 40 m²,9.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,12.500 TL
