location,information,sales_price
Urla - Gülbahçe Mahallesi,Daire | 1+1 | 1. Kat | 40 m²,30.000 TL
Karşıyaka - Bahariye Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,40.000 TL
Konak - Göztepe Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,37.000 TL
Konak - Göztepe Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,40.000 TL
Bayraklı - Fuat Edip Baksı Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,19.000 TL
Karşıyaka - İmbatlı Mahallesi,Daire | 3+1 | 7. Kat | 140 m²,40.000 TL
Bayraklı - Emek Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,34.000 TL
Karşıyaka - Örnekköy Mahallesi,Daire | 2+1 | 1. Kat | 98 m²,23.500 TL
Balçova - Teleferik Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,30.500 TL
Bornova - Evka 4 Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,17.500 TL
Torbalı - Fevzi Çakmak Mahallesi,Daire | 4+1 | 3. Kat | 180 m²,27.000 TL
Aliağa - Kazım Dirik Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,30.000 TL
Aliağa - Atatürk Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,20.000 TL
Aliağa - Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,35.000 TL
Aliağa - Örnekkent Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,22.000 TL
Menderes - Cüneytbey Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,31.500 TL
Gaziemir - Atıfbey Mahallesi,Daire | 2+1 | 3. Kat | 92 m²,38.000 TL
Çiğli - Ahmet Efendi Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.000 TL
Karşıyaka - Alaybey Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,22.000 TL
Menemen - 30 Ağustos Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,21.000 TL
Karşıyaka - Alaybey Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,37.000 TL
